PassengerId,Pclass,SibSp,Parch,Fare_Bin,Num_family,Age_Bin,Sex_0,Sex_1,Embarked_0,Embarked_1,Embarked_2,Title_0,Title_1,Title_2,Title_3,Title_4,Title_5,Title_6,Survived
5,2,0,0,0,0,3,False,True,False,True,False,False,False,True,False,False,False,False,0.0
17,1,0,0,0,0,3,False,True,False,False,True,False,False,True,False,False,False,False,1.0
19,2,0,0,0,0,3,True,False,True,False,False,False,False,False,True,False,False,False,1.0
26,2,0,0,0,0,2,False,True,True,False,False,False,False,True,False,False,False,False,0.0
28,2,0,0,0,0,2,True,False,False,True,False,False,False,False,False,True,False,False,1.0
29,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,0.0
31,0,1,0,2,2,3,True,False,True,False,False,False,False,False,True,False,False,False,1.0
32,2,0,0,0,0,2,True,False,False,True,False,False,False,False,False,True,False,False,1.0
36,2,0,0,0,0,2,False,True,True,False,False,False,False,True,False,False,False,False,1.0
42,2,0,0,0,0,2,False,True,True,False,False,False,False,True,False,False,False,False,0.0
45,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,0.0
46,2,1,0,0,2,3,False,True,False,True,False,False,False,True,False,False,False,False,0.0
47,2,0,0,0,0,2,True,False,False,True,False,False,False,False,False,True,False,False,1.0
48,2,2,0,0,3,2,False,True,True,False,False,False,False,True,False,False,False,False,0.0
55,0,0,0,1,0,4,False,True,False,False,True,False,False,True,False,False,False,False,1.0
64,0,0,0,1,0,4,False,True,True,False,False,False,False,True,False,False,False,False,0.0
65,2,1,1,0,3,0,False,True,True,False,False,False,False,False,False,False,True,False,1.0
76,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,0.0
77,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,0.0
82,2,0,0,0,0,2,True,False,False,True,False,False,False,False,False,True,False,False,1.0
87,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,0.0
95,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,0.0
101,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,0.0
107,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,1.0
109,2,1,0,0,2,2,True,False,False,True,False,False,False,False,False,True,False,False,1.0
121,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,0.0
126,2,0,0,0,0,3,False,True,False,True,False,False,False,True,False,False,False,False,0.0
128,2,1,1,0,3,0,True,False,True,False,False,False,False,False,False,True,False,False,1.0
140,2,0,2,0,3,2,True,False,True,False,False,False,False,False,True,False,False,False,0.0
154,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,0.0
158,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,0.0
159,2,6,2,0,1,1,False,True,False,False,True,False,False,False,False,False,True,False,0.0
166,0,0,1,1,2,4,True,False,False,False,True,False,False,False,True,False,False,False,1.0
168,0,0,0,1,0,4,False,True,False,False,True,False,False,True,False,False,False,False,0.0
176,2,3,1,0,5,0,False,True,False,False,True,False,False,False,False,False,True,False,0.0
180,2,6,2,0,1,1,True,False,False,False,True,False,False,False,False,True,False,False,0.0
181,1,0,0,0,0,2,False,True,True,False,False,False,False,True,False,False,False,False,0.0
185,0,0,0,2,0,4,False,True,False,False,True,False,False,True,False,False,False,False,0.0
186,2,1,0,0,2,3,True,False,False,True,False,False,False,False,True,False,False,False,1.0
196,2,0,0,0,0,3,False,True,False,True,False,False,False,True,False,False,False,False,0.0
198,2,0,0,0,0,2,True,False,False,True,False,False,False,False,False,True,False,False,1.0
201,2,6,2,0,1,1,False,True,False,False,True,False,False,True,False,False,False,False,0.0
214,2,1,0,0,2,3,False,True,False,True,False,False,False,True,False,False,False,False,0.0
223,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,0.0
229,2,3,1,0,5,0,True,False,False,False,True,False,False,False,False,True,False,False,0.0
235,2,0,0,0,0,2,True,False,False,False,True,False,False,False,False,True,False,False,0.0
240,2,1,0,0,2,1,True,False,True,False,False,False,False,False,False,True,False,False,0.0
241,2,1,0,0,2,2,True,False,False,True,False,False,False,False,False,True,False,False,1.0
250,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,0.0
256,0,0,0,1,0,4,True,False,True,False,False,False,False,False,True,False,False,False,1.0
260,2,0,0,0,0,3,False,True,False,True,False,False,False,True,False,False,False,False,0.0
264,2,0,0,0,0,2,True,False,False,True,False,False,False,False,False,True,False,False,0.0
270,0,0,0,0,0,3,False,True,False,False,True,False,False,True,False,False,False,False,0.0
274,2,0,0,0,0,2,True,False,False,True,False,False,False,False,False,True,False,False,1.0
277,1,0,0,0,0,3,False,True,False,False,True,False,False,True,False,False,False,False,0.0
284,0,0,0,1,0,4,False,True,False,False,True,False,False,True,False,False,False,False,0.0
295,0,0,0,1,0,4,False,True,True,False,False,False,False,True,False,False,False,False,0.0
298,0,0,0,1,0,4,False,True,False,False,True,False,False,True,False,False,False,False,1.0
300,2,0,0,0,0,2,True,False,False,True,False,False,False,False,False,True,False,False,1.0
301,2,2,0,0,3,2,False,True,False,True,False,False,False,True,False,False,False,False,1.0
303,1,0,0,0,0,3,True,False,False,True,False,False,False,False,False,True,False,False,1.0
304,2,0,0,0,0,2,False,True,False,False,True,False,False,True,False,False,False,False,0.0
306,0,0,0,1,0,3,True,False,True,False,False,False,False,False,False,True,False,False,1.0
